Source Destination Bandwidth Latency category
nb_commodities 90
0 1 55916.0 73383.1649784 3
0 6 19869.0 71956.8833516 4
0 7 19601.0 72658.7161501 1
0 8 18493.0 74534.3510644 1
6 0 15109.0 71956.8833516 2
3 0 14325.0 74431.1016141 3
9 0 14242.0 73842.722174 2
2 0 12719.0 75124.0814461 2
8 0 12468.0 74534.3510644 1
7 0 9969.0 72658.7161501 1
7 6 9583.0 71421.3280281 4
0 4 34354.0 72468.9786277 2
7 9 8862.0 73343.7320451 3
5 4 7224.0 71502.0419678 2
5 6 5551.0 70891.9809511 3
4 1 4777.0 72759.5743518 2
1 2 4504.0 75424.6560619 2
1 4 4333.0 72759.5743518 3
1 3 3998.0 74739.8105188 1
3 1 3777.0 74739.8105188 1
5 1 3669.0 72495.7761543 3
6 1 3489.0 72296.0428581 2
0 3 29648.0 74431.1016141 4
1 6 3246.0 72296.0428581 3
6 7 3210.0 71421.3280281 3
9 8 3114.0 75111.2504409 1
1 9 3000.0 74159.1027132 4
4 2 2941.0 74544.423436 2
1 5 2836.0 72495.7761543 1
4 5 2802.0 71502.0419678 2
8 1 2792.0 74672.2694906 1
1 8 2624.0 74672.2694906 3
2 1 2555.0 75424.6560619 1
4 0 28809.0 72468.9786277 4
2 3 2338.0 76316.5514827 4
1 7 2157.0 72877.2430412 2
5 9 1990.0 72906.577312 3
7 4 1955.0 72013.6937822 1
6 4 1938.0 71292.8283275 1
4 3 1913.0 73833.7159488 4
6 3 1888.0 73274.8347165 1
5 3 1849.0 73520.1248929 4
4 6 1844.0 71292.8283275 3
8 3 1820.0 75663.3266781 2
1 0 26364.0 73383.1649784 2
9 1 1801.0 74159.1027132 2
6 5 1786.0 70891.9809511 3
4 9 1745.0 73228.5750593 2
4 7 1736.0 72013.6937822 3
8 9 1719.0 75111.2504409 1
4 8 1718.0 73937.849738 2
3 4 1657.0 73833.7159488 1
6 9 1444.0 72655.4129182 3
3 6 1441.0 73274.8347165 3
8 4 1312.0 73937.849738 3
0 2 24021.0 75124.0814461 3
7 1 1310.0 72877.2430412 3
6 8 1248.0 73333.5783844 1
8 6 1229.0 73333.5783844 3
8 2 1201.0 76317.8290673 4
3 9 1160.0 75105.9900404 1
9 4 1107.0 73228.5750593 3
3 5 1099.0 73520.1248929 1
5 8 1067.0 73522.1986744 4
3 2 1038.0 76316.5514827 3
3 8 978.0 75663.3266781 4
0 5 22258.0 72159.580149 4
2 4 937.0 74544.423436 2
9 3 931.0 75105.9900404 1
6 2 877.0 74000.6365688 4
5 2 833.0 74239.7162469 4
8 5 801.0 73522.1986744 1
5 7 799.0 71628.7906142 3
9 6 752.0 72655.4129182 3
9 5 701.0 72906.577312 3
7 3 699.0 73944.4192425 4
8 7 698.0 73994.1896086 4
0 9 21108.0 73842.722174 4
3 7 660.0 73944.4192425 3
9 7 638.0 73343.7320451 4
2 6 581.0 74000.6365688 1
9 2 494.0 75764.8928929 3
7 5 488.0 71628.7906142 1
2 8 484.0 76317.8290673 4
7 8 431.0 73994.1896086 2
2 9 304.0 75764.8928929 2
2 5 289.0 74239.7162469 1
7 2 144.0 74650.4332978 4
5 0 20073.0 72159.580149 1
2 7 126.0 74650.4332978 1
